Province,Year,Allocated Budget (Rs. In Millions),Sector/Sub-Sector,Population,Normalized
Balochistan,2010-11,260.45,Agriculture,,
Sindh,2010-11,7030,Education,42400000,16.58018868
Punjab,2010-11,2000,Livestock,93682000,2.134881834
Balochistan,2010-11,1429.85,Education,,
Punjab,2016-17,2200,Agriculture,103013000,2.135652782
Balochistan,2010-11,0,Food,,
Sindh,2010-11,1975.91,Information Technology,42400000,4.660167453
Punjab,2009-10,2000,Livestock,92089000,2.171812051
Balochistan,2010-11,5,Information Technology,,
Sindh,2010-11,6300,Health,42400000,14.85849057
Punjab,2004-05,2000,Health,84562000,2.365128545
Sindh,2010-11,338.55,Women's Development,42400000,0.798476415
Balochistan,2010-11,0,Women's Development,,
Sindh,2010-11,1356.45,Industries,42400000,3.199176887
Punjab,2004-05,2000,Health,84562000,2.365128545
Balochistan,2010-11,17.19,Industries,,
Balochistan,2010-11,754.1,Health,,
Punjab,2012-13,2400,Information Technology,96676000,2.482518929
Balochistan,2010-11,15,Livestock,,
Punjab,2011-12,2500,Livestock,95153000,2.627347535
Sindh,2010-11,271.04,Auqaf and Religious Affairs,42400000,0.639233491
Punjab,2011-12,2860,Industries,95153000,3.00568558
Balochistan,2011-12,928.65,Agriculture,9162000,10.13588736
Punjab,2007-08,2800,Agriculture,89036000,3.144795364
Balochistan,2011-12,2820.19,Education,9162000,30.78142327
Punjab,2007-08,2800,Agriculture,89036000,3.144795364
Balochistan,2011-12,30,Food,9162000,0.327439424
Punjab,2013-14,3202,Industries,98223000,3.259928937
Balochistan,2011-12,21.53,Information Technology,9162000,0.235025104
Punjab,2008-09,3000,Agriculture,90550000,3.313086692
Balochistan,2011-12,0,Women's Development,9162000,0
Punjab,2008-09,3000,Agriculture,90550000,3.313086692
Balochistan,2011-12,139.1,Industries,9162000,1.518227461
Balochistan,2011-12,1597.8,Health,9162000,17.43939096
Punjab,2010-11,3200,Agriculture,93682000,3.415810935
Balochistan,2011-12,38.05,Livestock,9162000,0.415258677
Punjab,2009-10,3200,Agriculture,92089000,3.474899282
Punjab,2009-10,3200,Agriculture,92089000,3.474899282
Balochistan,2012-13,835.39,Agriculture,,
Punjab,2011-12,3400,Agriculture,95153000,3.573192648
Balochistan,2012-13,2150.39,Education,,
Punjab,2005-06,3300,Health,86087000,3.833331397
Balochistan,2012-13,0,Food,,
Punjab,2005-06,3300,Health,86087000,3.833331397
Balochistan,2012-13,15.53,Information Technology,,
Punjab,2016-17,4500,Women's Development,103013000,4.36838069
Punjab,2006-07,4300,Health,87548000,4.911591356
Balochistan,2012-13,N.A,Women's Development,,
Punjab,2006-07,4300,Health,87548000,4.911591356
Balochistan,2012-13,831.94,Industries,,
Balochistan,2012-13,1287.5,Health,,
Punjab,2015-16,5065,Livestock,101391000,4.995512422
Balochistan,2012-13,90.15,Livestock,,
Punjab,2014-15,5200,Livestock,99794000,5.210734112
Sindh,2013-14,6167,Agriculture,46061687,13.38856738
Punjab,2012-13,5040,Agriculture,96676000,5.213289751
Balochistan,2013-14,2288.98,Agriculture,,
